,title,deputado_id,year,number,full_ref,vote,sessao_id,date,type
9567,"SUBSTITUTIVO DA COMISSÃO ESPECIAL",526411,2011,1749,"PL   N  1749 2011",S,252,2011-09-20,PL
5605,"DVS - DEM - CAPUT DO ART. 76 DO ADCT CONST. DO ART. 1º DA PEC 61/2011",531071,2011,61,"PEC  N  61 2011",S,314,2011-11-08,PEC
14882,"VOTAÇÃO EM SEGUNDO TURNO",520409,2011,61,"PEC  N  61 2011",S,331,2011-11-22,PEC
18392,"REQUERIMENTO DE RETIRADA DE PAUTA",530192,2011,527,"MPV  N  527 2011",N,153,2011-06-15,MPV
25900,"REQ. DE CONCESSÃO DO PRAZO DE 1 SESSÃO P/ VOTAÇÃO DO PLV",524686,2011,530,"MPV  N  530 2011",N,190,2011-08-03,MPV
25802,"PROJETO DE LEI DE CONVERSÃO",530008,2011,527,"MPV  N  527 2011",N,154,2011-06-15,MPV
1655,"VOTAÇÃO EM 1º TURNO DO SUBSTITUTIVO DA COMISSÃO ESPECIAL",520429,2007,98,"PEC  N  98 2007",S,332,2011-11-22,PEC
2677,"PROJETO DE DECRETO LEGISLATIVO",530004,2010,2600,"PDC  N  2600 2010",S,60,2011-04-06,PDC
14634,"DVS - DEM - EMENDA Nº 22",530189,2011,382,"PL   N  382 2011",N,13,2011-02-16,PL
17440,"DVS - DEM - EMENDA Nº 34",532006,2011,528,"MPV  N  528 2011",S,175,2011-07-05,MPV
572,"DVS - PV-PPS - INC. II DO § 3º DO ART. 1º, CONST. DO ART. 12 DO PLV",530130,2011,532,"MPV  N  532 2011",S,215,2011-08-23,MPV
10510,"REQUERIMENTO DE RETIRADA DE PAUTA",525638,2011,532,"MPV  N  532 2011",N,206,2011-08-16,MPV
26078,"DVS - PSDB - § 3º DO ART. 8º DO PLV",522843,2011,527,"MPV  N  527 2011",S,167,2011-06-28,MPV
21757,"REQUERIMENTO DE RETIRADA DE PAUTA",530191,2011,527,"MPV  N  527 2011",N,153,2011-06-15,MPV
28643,"DVS - DEM - EMENDA Nº 28",530076,2011,1209,"PL   N  1209 2011",N,228,2011-08-31,PL
9189,"REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO E ENCAMINHAMENTO",530082,2011,532,"MPV  N  532 2011",S,208,2011-08-17,MPV
11130,"DVS - PSDB - ART. 9º DO PLV",527072,2011,527,"MPV  N  527 2011",S,168,2011-06-28,MPV
9208,"EMENDA Nº 1",530082,2011,61,"PEC  N  61 2011",N,314,2011-11-08,PEC
11439,"DVS - PSDB - EXPRESSÃO ""JÁ INSTITUÍDOS""",530178,2011,61,"PEC  N  61 2011",S,316,2011-11-09,PEC
26067,"DVS - PT - § 7º DO ART. 11-B CONSTANTE DO ART. 1º DO PLV",522843,2010,512,"MPV  N  512 2010",S,68,2011-04-13,MPV
404,"DVS - PSDB - EMENDA Nº 8",530059,2011,539,"MPV  N  539 2011",N,273,2011-10-05,MPV
12223,"REQUERIMENTO DE RETIRADA DE PAUTA",530111,2011,61,"PEC  N  61 2011",N,313,2011-11-08,PEC
18672,"VOTAÇÃO EM 1º TURNO DO SUBSTITUTIVO DA COMISSÃO ESPECIAL",530180,2007,98,"PEC  N  98 2007",S,332,2011-11-22,PEC
16590,"DVS - DEM - ART. 24 DO PLV",530136,2010,517,"MPV  N  517 2010",S,126,2011-05-25,MPV
29291,"DVS - DEM - EMENDA Nº 22",530117,2011,382,"PL   N  382 2011",N,13,2011-02-16,PL
24284,"DVS - DEM- EXP "" E DE INTERVENÇÃO DE DOMINIO ECONÔMICO"" CAP ART. 76",528647,2011,61,"PEC  N  61 2011",N,332,2011-11-22,PEC
4456,"DVS - DEM - ART. 16 DA SUBEMENDA SUBSTITUTIVA GLOBAL DA CFT",526056,2008,306,"PLP  N  306 2008",N,255,2011-09-21,PLP
9850,"VOTAÇÃO EM SEGUNDO TURNO",532966,2011,61,"PEC  N  61 2011",S,331,2011-11-22,PEC
13916,"REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO E ENCAMINHAMENTO",523543,2011,532,"MPV  N  532 2011",S,208,2011-08-17,MPV
25646,"DVS - PSDB - EMENDA Nº 1",520760,2011,382,"PL   N  382 2011",N,13,2011-02-16,PL
10241,"REQUERIMENTO DE RETIRADA DE PAUTA",524640,2010,502,"MPV  N  502 2010",N,20,2011-02-22,MPV
11646,"DVS - PSDB -  ART. 5º DO PLV",523097,2010,513,"MPV  N  513 2010",S,84,2011-04-26,MPV
19917,"DVS - PSDB - EXPR. ""autoriza... ETAV"" CONST. DO ART. 1º DO PLV",522296,2010,511,"MPV  N  511 2010",S,59,2011-04-06,MPV
20849,"REQUERIMENTO DE RETIRADA DE PAUTA",530151,2010,517,"MPV  N  517 2010",N,116,2011-05-18,MPV
27588,"SUBSTITUTIVO DA COMISSÃO ESPECIAL",530019,2011,1749,"PL   N  1749 2011",S,252,2011-09-20,PL
1351,"DVS - PSDB - ART. 12 DO PLV",526610,2011,532,"MPV  N  532 2011",S,209,2011-08-17,MPV
15042,"REQ. DE CONCESSÃO DE PRAZO POR 1 SESSÃO",530091,2010,514,"MPV  N  514 2010",N,85,2011-04-27,MPV
8347,"DVS - Bloco PvPps - EXPR: ""por meio de decreto"" - ART. 3º DO PL 382/2011 (...)",530199,2011,382,"PL   N  382 2011",N,14,2011-02-16,PL
22862,"DVS - PSDB - EXPRESSÃO ""básico e"" § 1º DO ART. 9º DO PLV",530204,2011,527,"MPV  N  527 2011",S,168,2011-06-28,MPV
9768,"REQUERIMENTO DE RETIRADA DE PAUTA",532149,2011,61,"PEC  N  61 2011",N,313,2011-11-08,PEC
19142,"REQ. DE CONCESSÃO DE PRAZO POR 1 SESSÃO",531025,2010,514,"MPV  N  514 2010",N,85,2011-04-27,MPV
19112,"DVS - PSDB - EMENDA Nº 8",530078,2011,539,"MPV  N  539 2011",S,273,2011-10-05,MPV
10967,"DVS - PSDB - EXPRESSÃO ""CONTRIBUIÇÕES SOCIAIS""",526179,2011,61,"PEC  N  61 2011",S,316,2011-11-09,PEC
6576,"DVS - DEM - EMENDA Nº 22",525386,2011,382,"PL   N  382 2011",N,13,2011-02-16,PL
22018,"REQUERIMENTO DE RETIRADA DE PAUTA",532214,2011,61,"PEC  N  61 2011",N,317,2011-11-09,PEC
12855,"DVS - PT - § 7º DO ART. 11-B CONSTANTE DO ART. 1º DO PLV",530030,2010,512,"MPV  N  512 2010",S,68,2011-04-13,MPV
26199,"DVS - PSDB - ART. 9º DO PLV",520829,2011,527,"MPV  N  527 2011",S,168,2011-06-28,MPV
20905,"PROJETO DE DECRETO LEGISLATIVO",521038,2010,2600,"PDC  N  2600 2010",S,60,2011-04-06,PDC
12237,"REQUERIMENTO DE RETIRADA DE PAUTA",530111,2011,61,"PEC  N  61 2011",N,331,2011-11-22,PEC
1280,"REQUERIMENTO DE ADIAMENTO DA DISCUSSÃO POR 1 SESSÃO",530182,2010,2600,"PDC  N  2600 2010",N,60,2011-04-06,PDC
17697,"DVS - PV-PPS - INC. II DO § 3º DO ART. 1º, CONST. DO ART. 12 DO PLV",532007,2011,532,"MPV  N  532 2011",N,215,2011-08-23,MPV
21897,"PT - DESTAQUE DE PREFERÊNCIA PARA VOTAÇÃO DA PEC Nº 61/2011",525873,2011,61,"PEC  N  61 2011",O,314,2011-11-08,PEC
29830,"REQUERIMENTO DE VOTAÇÃO ARTIGO POR ARTIGO",5829167,2012,559,"MPV  N  559 2012",N,160,2012-06-12,MPV
3670,"REQUERIMENTO DE RETIRADA DE PAUTA",530074,2011,61,"PEC  N  61 2011",N,316,2011-11-09,PEC
25916,"DVS - DEM - CAPUT DO ART. 76 DO ADCT CONST. DO ART. 1º DA PEC 61/2011",524686,2011,61,"PEC  N  61 2011",N,314,2011-11-08,PEC
27355,"DVS - PV-PPS - EMENDA 64",528107,2010,517,"MPV  N  517 2010",N,126,2011-05-25,MPV
16959,"REQUERIMENTO DE RETIRADA DE PAUTA",523023,2011,533,"MPV  N  533 2011",N,218,2011-08-24,MPV
28298,"REQUERIMENTO DE RETIRADA DE PAUTA",530126,2007,98,"PEC  N  98 2007",N,332,2011-11-22,PEC
19115,"REQUERIMENTO DE RETIRADA DE PAUTA",530078,2011,61,"PEC  N  61 2011",O,314,2011-11-08,PEC
1677,"DVS - PMDB - EMENDA Nº 164",530137,1999,1876,"PL   N  1876 1999",S,123,2011-05-24,PL
21386,"REQUERIMENTO DE RETIRADA DE PAUTA",530183,2011,61,"PEC  N  61 2011",N,317,2011-11-09,PEC
21828,"DVS - PSDB - EMENDA Nº 3",530011,2011,528,"MPV  N  528 2011",S,175,2011-07-05,MPV
18787,"PROJETO DE LEI COMPLEMENTAR",521013,2011,87,"PLP  N  87 2011",S,228,2011-08-31,PLP
19004,"DVS - Bloco PvPps - EXPR: ""por meio de decreto"" - ART. 3º DO PL 382/2011 (...)",525821,2011,382,"PL   N  382 2011",N,14,2011-02-16,PL
7264,"DVS - PSDB - EMENDA Nº 8",533383,2011,539,"MPV  N  539 2011",N,273,2011-10-05,MPV
18952,"DVS - PMDB - EMENDA Nº 164",524876,1999,1876,"PL   N  1876 1999",N,123,2011-05-24,PL
20611,"DVS - Bloco PvPps - EXPR: ""por meio de decreto"" - ART. 3º DO PL 382/2011 (...)",530071,2011,382,"PL   N  382 2011",A,14,2011-02-16,PL
5293,"DVS - PSDB - EMENDA Nº 3",524985,2011,528,"MPV  N  528 2011",N,175,2011-07-05,MPV
24175,"VOTAÇÃO EM SEGUNDO TURNO",523547,2011,61,"PEC  N  61 2011",S,331,2011-11-22,PEC
27332,"DVS - DEM - EMENDA Nº 22",528107,2011,382,"PL   N  382 2011",N,13,2011-02-16,PL
24162,"REQUERIMENTO DE RETIRADA DE PAUTA",523547,2011,61,"PEC  N  61 2011",N,314,2011-11-08,PEC
2864,"DVS - PSDB - EMENDA Nº 18",521603,2004,3937,"PL   N  3937 2004",N,274,2011-10-05,PL
16370,"DVS - PMDB - EMENDA Nº 164",521068,1999,1876,"PL   N  1876 1999",N,123,2011-05-24,PL
1756,"PROJETO DE LEI COMPLEMENTAR",530002,2011,87,"PLP  N  87 2011",S,228,2011-08-31,PLP
6994,"REQUERIMENTO DE RETIRADA DE PAUTA",530072,1999,1876,"PL   N  1876 1999",O,107,2011-05-11,PL
11328,"REQUERIMENTO DE ADIAMENTO DA DISCUSSÃO POR 1 SESSÃO",530203,2010,502,"MPV  N  502 2010",N,19,2011-02-22,MPV
1343,"REQUERIMENTO DE RETIRADA DE PAUTA",526610,2011,527,"MPV  N  527 2011",N,154,2011-06-15,MPV
12167,"DVS - PSDB - EXPRESSÃO ""CONTRIBUIÇÕES SOCIAIS"" CAPUT ART. 76",521856,2011,61,"PEC  N  61 2011",S,332,2011-11-22,PEC
24581,"REQUERIMENTO DE RETIRADA DE PAUTA",528650,2011,533,"MPV  N  533 2011",N,217,2011-08-24,MPV
16497,"REQUERIMENTO DE CONCESSÃO DE PRAZO",530123,2010,511,"MPV  N  511 2010",N,57,2011-04-05,MPV
28085,"DVS - PSDB - EXPRESSÃO ""CONTRIBUIÇÕES SOCIAIS""",531878,2011,61,"PEC  N  61 2011",S,316,2011-11-09,PEC
13581,"DVS - PV - ART. 2º  DO  PLV",531198,2010,512,"MPV  N  512 2010",S,68,2011-04-13,MPV
27623,"DVS - PMDB - EMENDA Nº 164",521435,1999,1876,"PL   N  1876 1999",N,123,2011-05-24,PL
12716,"REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 5 SESSÕES",530146,2011,61,"PEC  N  61 2011",N,313,2011-11-08,PEC
8028,"REQUERIMENTO DE ADIAMENTO DA DISCUSSÃO POR 1 SESSÃO",522260,2010,502,"MPV  N  502 2010",N,19,2011-02-22,MPV
18364,"VOTAÇÃO EM 1º TURNO DO SUBSTITUTIVO DA COMISSÃO ESPECIAL",526015,2007,98,"PEC  N  98 2007",S,332,2011-11-22,PEC
11844,"DVS - PV/PPS - §  4º DO ART. 76 CONSTANTE DA EMENDA 1",530056,2011,61,"PEC  N  61 2011",N,317,2011-11-09,PEC
16323,"REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO E ENCAMINHAMENTO",525239,2011,532,"MPV  N  532 2011",S,208,2011-08-17,MPV
24939,"PROJETO DE DECRETO LEGISLATIVO",530142,2010,2600,"PDC  N  2600 2010",S,60,2011-04-06,PDC
323,"DVS - PSDB - § 3º DO ART. 8º DO PLV",530093,2011,527,"MPV  N  527 2011",S,167,2011-06-28,MPV
14424,"DVS - PT - § 7º DO ART. 11-B CONSTANTE DO ART. 1º DO PLV",525000,2010,512,"MPV  N  512 2010",N,68,2011-04-13,MPV
16763,"REQUERIMENTO DE RETIRADA DE PAUTA",530062,2011,532,"MPV  N  532 2011",N,206,2011-08-16,MPV
19253,"REQUERIMENTO DE RETIRADA DE PAUTA",525834,2011,533,"MPV  N  533 2011",N,218,2011-08-24,MPV
21259,"PROPOSTA DE EMENDA À CONSTITUIÇÃO",523150,2011,61,"PEC  N  61 2011",S,314,2011-11-08,PEC
18403,"DVS - DEM - § 3º DO ART. 1º DA MP, CONSTANTE DO ART. 12 DO PLV",530192,2011,532,"MPV  N  532 2011",S,215,2011-08-23,MPV
27319,"DVS - PV/PPS - §  4º DO ART. 76 CONSTANTE DA EMENDA 1",530065,2011,61,"PEC  N  61 2011",N,317,2011-11-09,PEC
428,"VOTAÇÃO EM 1º TURNO DO SUBSTITUTIVO DA COMISSÃO ESPECIAL",530059,2007,98,"PEC  N  98 2007",S,332,2011-11-22,PEC
21979,"DVS - PV/PPS - §  4º DO ART. 76 CONSTANTE DA EMENDA 1",530155,2011,61,"PEC  N  61 2011",S,317,2011-11-09,PEC
29323,"DVS - PV-PPS - INC. II DO § 3º DO ART. 1º, CONST. DO ART. 12 DO PLV",530117,2011,532,"MPV  N  532 2011",S,215,2011-08-23,MPV
3168,"DVS - PT - § 7º DO ART. 11-B CONSTANTE DO ART. 1º DO PLV",530050,2010,512,"MPV  N  512 2010",S,68,2011-04-13,MPV
22258,"REQUERIMENTO DE RETIRADA DE PAUTA",528890,2010,521,"MPV  N  521 2010",N,102,2011-05-10,MPV
20986,"DVS - DEM - ART. 24 DO PLV",530175,2010,517,"MPV  N  517 2010",N,126,2011-05-25,MPV
26733,"VOTAÇÃO EM 1º TURNO DO SUBSTITUTIVO DA COMISSÃO ESPECIAL",520152,2007,98,"PEC  N  98 2007",N,332,2011-11-22,PEC
14929,"EMENDA Nº 1",523548,2011,61,"PEC  N  61 2011",N,314,2011-11-08,PEC
7157,"REQUERIMENTO DE RETIRADA DE PAUTA",527378,2011,61,"PEC  N  61 2011",N,316,2011-11-09,PEC
14930,"PROPOSTA DE EMENDA À CONSTITUIÇÃO",523548,2011,61,"PEC  N  61 2011",S,314,2011-11-08,PEC
5633,"REQUERIMENTO DE RETIRADA DE PAUTA",524733,2010,2600,"PDC  N  2600 2010",N,60,2011-04-06,PDC
28149,"PROPOSTA DE EMENDA À CONSTITUIÇÃO",527977,2011,61,"PEC  N  61 2011",S,314,2011-11-08,PEC
26692,"REQUERIMENTO DE RETIRADA DE PAUTA",520152,2010,502,"MPV  N  502 2010",N,20,2011-02-22,MPV
14684,"DVS - PSDB - EXPRESSÃO ""CONTRIBUIÇÕES SOCIAIS"" CAPUT ART. 76",530189,2011,61,"PEC  N  61 2011",S,332,2011-11-22,PEC
26095,"REQUERIMENTO DE RETIRADA DE PAUTA",522843,2011,220,"PDC  N  220 2011",N,304,2011-11-01,PDC
4907,"PROPOSTA DE EMENDA À CONSTITUIÇÃO",530005,2011,61,"PEC  N  61 2011",S,314,2011-11-08,PEC
3826,"REQ. DE CONCESSÃO DO PRAZO DE 1 SESSÃO P/ VOTAÇÃO DO PLV",521434,2011,530,"MPV  N  530 2011",N,190,2011-08-03,MPV
2736,"DVS - PSDB - EMENDA Nº 1",530025,2011,382,"PL   N  382 2011",N,13,2011-02-16,PL
3634,"DVS - PT - § 7º DO ART. 11-B CONSTANTE DO ART. 1º DO PLV",530074,2010,512,"MPV  N  512 2010",S,68,2011-04-13,MPV
7917,"DVS - DEM - EMENDA Nº 22",530080,2011,382,"PL   N  382 2011",S,13,2011-02-16,PL
24210,"PROJETO DE LEI DE CONVERSÃO",530206,2011,527,"MPV  N  527 2011",S,154,2011-06-15,MPV
6189,"DVS - PMDB - EMENDA Nº 164",532150,1999,1876,"PL   N  1876 1999",N,123,2011-05-24,PL
11089,"DVS - PV - ART. 2º  DO  PLV",524520,2010,512,"MPV  N  512 2010",S,68,2011-04-13,MPV
18922,"REQUERIMENTO DE RETIRADA DE PAUTA",530162,2011,61,"PEC  N  61 2011",N,317,2011-11-09,PEC
7229,"PROJETO DE DECRETO LEGISLATIVO",533383,2010,2600,"PDC  N  2600 2010",S,60,2011-04-06,PDC
4412,"VOTAÇÃO EM SEGUNDO TURNO",520852,2011,61,"PEC  N  61 2011",N,331,2011-11-22,PEC
10388,"DVS - PSDB - ART. 20 DO PLV",530067,2010,517,"MPV  N  517 2010",S,126,2011-05-25,MPV
23952,"REQ. DE CONCESSÃO DE PRAZO POR 1 SESSÃO",527952,2010,514,"MPV  N  514 2010",N,85,2011-04-27,MPV
13020,"REQUERIMENTO DE RETIRADA DE PAUTA",530145,2007,98,"PEC  N  98 2007",N,332,2011-11-22,PEC
7520,"REQUERIMENTO DE RETIRADA DE PAUTA",527657,2011,533,"MPV  N  533 2011",N,217,2011-08-24,MPV
13642,"DVS - DEM - ART. 3º-A DA LEI 9933/99, ART. 13 DO PLV",520857,2011,541,"MPV  N  541 2011",N,287,2011-10-19,MPV
25119,"REQUERIMENTO DE RETIRADA DE PAUTA",520831,2010,503,"MPV  N  503 2010",O,21,2011-02-23,MPV
13385,"REQ. DE CONCESSÃO DO PRAZO DE 1 SESSÃO P/ VOTAÇÃO DO PLV",525831,2011,530,"MPV  N  530 2011",N,190,2011-08-03,MPV
9707,"SUBSTITUTIVO DA COMISSÃO ESPECIAL",530125,2011,1749,"PL   N  1749 2011",N,252,2011-09-20,PL
11030,"DVS - PSDB - EXPRESSÃO ""CONTRIBUIÇÕES SOCIAIS"" CAPUT ART. 76",530083,2011,61,"PEC  N  61 2011",S,332,2011-11-22,PEC
9401,"DVS - PT - § 7º DO ART. 11-B CONSTANTE DO ART. 1º DO PLV",527540,2010,512,"MPV  N  512 2010",S,68,2011-04-13,MPV
12870,"DVS - PSDB - ART. 12 DO PLV",530030,2011,532,"MPV  N  532 2011",N,209,2011-08-17,MPV
21526,"DVS - PPS - EXP "" OU QUE VIEREM A SER CRIADOS... LEGAIS "" CAPUT ART. 76",530068,2011,61,"PEC  N  61 2011",S,332,2011-11-22,PEC
24248,"DVS -PDT-EXP:"" SALVO NA ETAPA DE...LASER"", ART. 150, VI, e / ART.1º SUBST.",530206,2007,98,"PEC  N  98 2007",S,332,2011-11-22,PEC
7228,"REQUERIMENTO DE ADIAMENTO DA DISCUSSÃO POR 1 SESSÃO",533383,2010,2600,"PDC  N  2600 2010",N,60,2011-04-06,PDC
16867,"REQUERIMENTO DE RETIRADA DE PAUTA",530170,2007,98,"PEC  N  98 2007",N,332,2011-11-22,PEC
12819,"REQUERIMENTO DE RETIRADA DE PAUTA",528531,2011,61,"PEC  N  61 2011",N,314,2011-11-08,PEC
5703,"DVS - PMDB - EMENDA Nº 164",521713,1999,1876,"PL   N  1876 1999",N,123,2011-05-24,PL
23115,"DVS - PPS - ART. 46 DO PLV",530896,2011,540,"MPV  N  540 2011",N,299,2011-10-26,MPV
12865,"DVS - DEM - EMENDA Nº 34",530030,2011,528,"MPV  N  528 2011",N,175,2011-07-05,MPV
13719,"DVS - PV-PPS - INC. II DO § 3º DO ART. 1º, CONST. DO ART. 12 DO PLV",528553,2011,532,"MPV  N  532 2011",S,215,2011-08-23,MPV
19646,"PROPOSTA DE EMENDA À CONSTITUIÇÃO",527629,2011,61,"PEC  N  61 2011",S,314,2011-11-08,PEC
10390,"DVS - DEM - ART. 24 DO PLV",530067,2010,517,"MPV  N  517 2010",S,126,2011-05-25,MPV
4272,"DVS - DEM - EMENDA Nº 28",530077,2011,1209,"PL   N  1209 2011",S,228,2011-08-31,PL
9663,"DVS -DEM- EXP ""OU QUE VIEREM A SER CRIADOS...DATA""   CAPUT ART. 76",521798,2011,61,"PEC  N  61 2011",S,332,2011-11-22,PEC
13078,"DVS -DEM- EXP ""OU QUE VIEREM A SER CRIADOS...DATA""   CAPUT ART. 76",523964,2011,61,"PEC  N  61 2011",S,332,2011-11-22,PEC
16654,"REQUERIMENTO DE RETIRADA DE PAUTA",521137,2011,527,"MPV  N  527 2011",N,154,2011-06-15,MPV
17759,"REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO E ENCAMINHAMENTO",533021,2011,532,"MPV  N  532 2011",S,208,2011-08-17,MPV
10632,"DVS - PSDB - EXPRESSÃO ""básico e"" § 1º DO ART. 9º DO PLV",524817,2011,527,"MPV  N  527 2011",S,168,2011-06-28,MPV
3258,"DVS - PSDB - EMENDA Nº 3",530897,2011,528,"MPV  N  528 2011",S,175,2011-07-05,MPV
24260,"DVS - PMDB - EMENDA Nº 164",528647,1999,1876,"PL   N  1876 1999",N,123,2011-05-24,PL
11036,"DVS -PDT-EXP:"" SALVO NA ETAPA DE...LASER"", ART. 150, VI, e / ART.1º SUBST.",530083,2007,98,"PEC  N  98 2007",S,332,2011-11-22,PEC
10543,"REQUERIMENTO DE ADIAMENTO DA DISCUSSÃO POR 1 SESSÃO",521466,2010,2600,"PDC  N  2600 2010",N,60,2011-04-06,PDC
25956,"PROJETO DE LEI DE CONVERSÃO",530185,2011,527,"MPV  N  527 2011",S,154,2011-06-15,MPV
17987,"DVS - DEM - ART. 24 DO PLV",520647,2010,517,"MPV  N  517 2010",S,126,2011-05-25,MPV
10749,"DVS - Bloco PvPps - EXPR: ""por meio de decreto"" - ART. 3º DO PL 382/2011 (...)",522180,2011,382,"PL   N  382 2011",S,14,2011-02-16,PL
2938,"REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 5 SESSÕES",530112,2011,61,"PEC  N  61 2011",N,313,2011-11-08,PEC
2076,"DVS - DEM - EXP. ""EM 20% NO ANO DE 2012,15% EM 2013, 10% EM 2014 E 5%  2015.",524132,2011,61,"PEC  N  61 2011",S,314,2011-11-08,PEC
29647,"REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES",520743,2011,61,"PEC  N  61 2011",O,331,2011-11-22,PEC
1457,"EMENDA SUBSTITUTIVA GLOBAL DE PLENÁRIO Nº 186",526874,1999,1876,"PL   N  1876 1999",S,123,2011-05-24,PL
10547,"REQ. DE CONCESSÃO DE PRAZO POR 1 SESSÃO",521466,2010,514,"MPV  N  514 2010",N,85,2011-04-27,MPV
14911,"DVS - DEM - CAPÍTULO I DO PLV",523548,2011,527,"MPV  N  527 2011",S,167,2011-06-28,MPV
17131,"REQUERIMENTO DE RETIRADA DE PAUTA",530026,2007,98,"PEC  N  98 2007",N,332,2011-11-22,PEC
3825,"REQUERIMENTO DE RETIRADA DE PAUTA",521434,2011,530,"MPV  N  530 2011",N,190,2011-08-03,MPV
16844,"DVS - DEM - ART. 16 DA SUBEMENDA SUBSTITUTIVA GLOBAL DA CFT",530170,2008,306,"PLP  N  306 2008",S,255,2011-09-21,PLP
22056,"DVS - PSDB - ART. 9º DO PLV",530051,2011,527,"MPV  N  527 2011",S,168,2011-06-28,MPV
12332,"PROPOSTA DE EMENDA À CONSTITUIÇÃO",525279,2011,61,"PEC  N  61 2011",S,314,2011-11-08,PEC
8525,"CONTRA A DEPUTADA JAQUELINE RORIZ - PMN/DF",530660,2011,1,"REP  N  1 2011",S,225,2011-08-30,REP
26422,"DVS - DEM - ART. 24 DO PLV",530661,2010,517,"MPV  N  517 2010",S,126,2011-05-25,MPV
21069,"DVS - DEM - ART. 16 DA SUBEMENDA SUBSTITUTIVA GLOBAL DA CFT",523198,2008,306,"PLP  N  306 2008",N,255,2011-09-21,PLP
11553,"REQUERIMENTO DE RETIRADA DE PAUTA",520015,2011,533,"MPV  N  533 2011",N,217,2011-08-24,MPV
675,"REQUERIMENTO DE RETIRADA DE PAUTA",530196,2011,527,"MPV  N  527 2011",O,153,2011-06-15,MPV
17995,"DVS - DEM - INC. IV DO ART. 24d DA LEI 10.683/03 (ART. 1º DA MP)",520647,2011,527,"MPV  N  527 2011",S,168,2011-06-28,MPV
6232,"DVS - Bloco PvPps - EXPR: ""por meio de decreto"" - ART. 3º DO PL 382/2011 (...)",523570,2011,382,"PL   N  382 2011",S,14,2011-02-16,PL
23527,"DVS - PSDB - EMENDA Nº 8",530153,2011,539,"MPV  N  539 2011",N,273,2011-10-05,MPV
14795,"REQUERIMENTO DE RETIRADA DE PAUTA",530075,2011,527,"MPV  N  527 2011",N,154,2011-06-15,MPV
189,"DVS - DEM - EXP. ""EM 20% NO ANO DE 2012,15% EM 2013, 10% EM 2014 E 5%  2015.",530135,2011,61,"PEC  N  61 2011",N,314,2011-11-08,PEC
19840,"REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO E ENCAMINHAMENTO",530089,2010,511,"MPV  N  511 2010",S,58,2011-04-05,MPV
3545,"DVS - DEM- EXP "" E DE INTERVENÇÃO DE DOMINIO ECONÔMICO"" CAP ART. 76",530097,2011,61,"PEC  N  61 2011",S,332,2011-11-22,PEC
24458,"DVS - DEM - EMENDA Nº 28",530205,2011,1209,"PL   N  1209 2011",S,228,2011-08-31,PL
26997,"DVS - PV-PPS - EMENDA 64",522097,2010,517,"MPV  N  517 2010",N,126,2011-05-25,MPV
7537,"REQUERIMENTO DE RETIRADA DE PAUTA",527657,2011,61,"PEC  N  61 2011",N,317,2011-11-09,PEC
2945,"DVS - DEM - EXP. ""EM 20% NO ANO DE 2012,15% EM 2013, 10% EM 2014 E 5%  2015.",530112,2011,61,"PEC  N  61 2011",N,314,2011-11-08,PEC
6641,"REQUERIMENTO DE ADIAMENTO DA DISCUSSÃO POR 1 SESSÃO",530040,2010,502,"MPV  N  502 2010",N,19,2011-02-22,MPV
16792,"REQUERIMENTO DE RETIRADA DE PAUTA",530062,2011,61,"PEC  N  61 2011",N,317,2011-11-09,PEC
28375,"DVS - DEM - EMENDA Nº 34",530022,2011,528,"MPV  N  528 2011",N,175,2011-07-05,MPV
2524,"DVS -PDT-EXP:"" SALVO NA ETAPA DE...LASER"", ART. 150, VI, e / ART.1º SUBST.",528260,2007,98,"PEC  N  98 2007",S,332,2011-11-22,PEC
25575,"DVS - DEM - EMENDA Nº 22",530121,2011,382,"PL   N  382 2011",S,13,2011-02-16,PL
6448,"VOTAÇÃO EM 1º TURNO DO SUBSTITUTIVO DA COMISSÃO ESPECIAL",522042,2007,98,"PEC  N  98 2007",S,332,2011-11-22,PEC
26493,"REQUERIMENTO DE RETIRADA DE PAUTA",524918,2011,530,"MPV  N  530 2011",N,190,2011-08-03,MPV
14114,"REQUERIMENTO DE RETIRADA DE PAUTA",530200,2010,511,"MPV  N  511 2010",N,57,2011-04-05,MPV
10936,"DVS - PSDB - EXPR. ""autoriza... ETAV"" CONST. DO ART. 1º DO PLV",526179,2010,511,"MPV  N  511 2010",S,59,2011-04-06,MPV
6094,"REQUERIMENTO DE RETIRADA DE PAUTA",528021,2011,527,"MPV  N  527 2011",N,154,2011-06-15,MPV
21832,"DVS - PSDB - ART. 12 DO PLV",530011,2011,532,"MPV  N  532 2011",N,209,2011-08-17,MPV
2523,"VOTAÇÃO EM 1º TURNO DO SUBSTITUTIVO DA COMISSÃO ESPECIAL",528260,2007,98,"PEC  N  98 2007",S,332,2011-11-22,PEC
28814,"DVS - PSDB - EXPRESSÃO ""CONTRIBUIÇÕES SOCIAIS""",530069,2011,61,"PEC  N  61 2011",S,316,2011-11-09,PEC
